model_id	publication_family_id	study_label	apa_reference	doi	bioproject	geo	genotype	tissue	developmental_stage	heat_temperature_c	heat_regime	exposure_duration	control_temperature_c	sampling_time	rna_samples_per_cell	treatment_unit_status	library_type	platform	read_layout	contrast_role	analysis_tier
B_heat_joint	bahrami_2025	Bahrami 2025	Bahrami, F., Arzani, A., Rahimmalek, M., & Araniti, F. (2025). Transcriptome alterations related to heat stress responses of wild and cultivated barley. Plant Physiology and Biochemistry, 222, Article 109699. https://doi.org/10.1016/j.plaphy.2025.109699	10.1016/j.plaphy.2025.109699	PRJNA1178137	NA	Mona; wild barley (Urmia)	leaf	two-leaf stage per Methods; BioSample records report three-leaf stage and dev_stage=productive (unresolved)	40 ± 2	40 ± 2 °C, 3 h per day, five consecutive days	3 h per day across five days	24 ± 2 (day) / 18 ± 2 (night)	harvest time relative to the final 3 h pulse not reported	2	Reported biological samples; physical heat-assignment units and harvest position within the heat pulse are unknown; conditional sample independence is assumed.	TruSeq Stranded mRNA, reverse-stranded	Illumina HiSeq 2500	paired-end 2 x 151	context	conditional_exploratory
Pacak_shoot	pacak_2016	Pacak 2016	Pacak, A., Barciszewska-Pacak, M., Swida-Barteczka, A., Kruszka, K., Sega, P., Milanowska, K., Jakobsen, I., Jarmolowski, A., & Szweykowska-Kulinska, Z. (2016). Heat stress affects Pi-related genes expression and inorganic phosphate deposition/accumulation in barley. Frontiers in Plant Science, 7, Article 926. https://doi.org/10.3389/fpls.2016.00926	10.3389/fpls.2016.00926	PRJNA324116	GSE82134	Rolap	shoot	two-week-old, three-leaf-stage plants (Zadoks 13)	35.5	35.5 °C for 1 h versus a matched constant 22 °C control	1 h	22 (constant)	1 h after heat initiation or matched control time	3	Reported biological samples; physical heat-assignment units are unknown; conditional sample independence is assumed.	oligo(dT)-selected, strand-specific library construction; exact kit and strand orientation not reported	Illumina HiSeq 2000	paired-end 2 x 100	exposure	conditional_exploratory
Pacak_root	pacak_2016	Pacak 2016	Pacak, A., Barciszewska-Pacak, M., Swida-Barteczka, A., Kruszka, K., Sega, P., Milanowska, K., Jakobsen, I., Jarmolowski, A., & Szweykowska-Kulinska, Z. (2016). Heat stress affects Pi-related genes expression and inorganic phosphate deposition/accumulation in barley. Frontiers in Plant Science, 7, Article 926. https://doi.org/10.3389/fpls.2016.00926	10.3389/fpls.2016.00926	PRJNA324116	GSE82134	Rolap	root	two-week-old, three-leaf-stage plants (Zadoks 13)	35.5	35.5 °C for 1 h versus a matched constant 22 °C control	1 h	22 (constant)	1 h after heat initiation or matched control time	2	Reported biological samples; physical heat-assignment units are unknown; roots are a separate context analysis; conditional sample independence is assumed.	oligo(dT)-selected, strand-specific library construction; exact kit and strand orientation not reported	Illumina HiSeq 2000	paired-end 2 x 100	context	conditional_exploratory
D_24h	li_2022	Li 2022	Li, B., Yang, C., An, B., Wang, H., Albaqami, M., Abou‐Elwafa, S. F., Xu, L., & Xu, Y. (2022). Comparative transcriptomic and epigenetic analyses reveal conserved and divergent regulatory pathways in barley response to temperature stresses. Physiologia Plantarum, 174(4), Article e13727. https://doi.org/10.1111/ppl.13727	10.1111/ppl.13727	PRJNA812745	NA	E-pi 2	aerial seedling tissue (exact dissection unresolved; RNA methods report seedlings, results report leaves, BioSample records report shoots)	seedlings germinated 2 d at 22/18 °C before treatment assignment	38/34 (day/night)	38/34 °C day/night under 16 h light versus 22/18 °C day/night control	24 h	22/18 (day/night)	24 h after treatment start	3	Reported biological samples; physical heat-assignment units and exact aerial dissection are unknown; conditional sample independence is assumed; no pairing across time.	NEBNext Ultra RNA (poly-A selected); strand direction not reported	Illumina NovaSeq 6000	paired-end 2 x 150	sensitivity	excluded_non_estimable
D_48h	li_2022	Li 2022	Li, B., Yang, C., An, B., Wang, H., Albaqami, M., Abou‐Elwafa, S. F., Xu, L., & Xu, Y. (2022). Comparative transcriptomic and epigenetic analyses reveal conserved and divergent regulatory pathways in barley response to temperature stresses. Physiologia Plantarum, 174(4), Article e13727. https://doi.org/10.1111/ppl.13727	10.1111/ppl.13727	PRJNA812745	NA	E-pi 2	aerial seedling tissue (exact dissection unresolved; RNA methods report seedlings, results report leaves, BioSample records report shoots)	seedlings germinated 2 d at 22/18 °C before treatment assignment	38/34 (day/night)	38/34 °C day/night under 16 h light versus 22/18 °C day/night control	48 h	22/18 (day/night)	48 h after treatment start	3	Reported biological samples; physical heat-assignment units and exact aerial dissection are unknown; conditional sample independence is assumed; no pairing across time.	NEBNext Ultra RNA (poly-A selected); strand direction not reported	Illumina NovaSeq 6000	paired-end 2 x 150	exposure	excluded_non_estimable
F_middle	fernandez_2026	Fernandez 2026	Fernandez, E. C., Tu, G., Dai, W., Yang, S., Liu, Z., Grzybowski, M., & Liang, Z. (2026). Spatial coordination between leaf gradient and temperature response in barley. The Plant Journal, 126(1), Article e70857. https://doi.org/10.1111/tpj.70857	10.1111/tpj.70857	PRJNA1275958	NA	Morex	leaf middle (second leaf)	14-day-old plants	33	33 °C for 4 h versus a 23 °C daytime control	4 h	23 (daytime)	4 h during exposure; matched control	3	Three reported RNA pools per condition; heat-assignment units are unknown; regions share source pools and are fitted separately; one publication family; conditional sample independence is assumed.	non-stranded	Illumina NovaSeq X Plus	paired-end 2 x 150	exposure	conditional_exploratory
F_tip	fernandez_2026	Fernandez 2026	Fernandez, E. C., Tu, G., Dai, W., Yang, S., Liu, Z., Grzybowski, M., & Liang, Z. (2026). Spatial coordination between leaf gradient and temperature response in barley. The Plant Journal, 126(1), Article e70857. https://doi.org/10.1111/tpj.70857	10.1111/tpj.70857	PRJNA1275958	NA	Morex	leaf tip	14-day-old plants	33	33 °C for 4 h versus a 23 °C daytime control	4 h	23 (daytime)	4 h during exposure; matched control	3	Three reported RNA pools per condition; heat-assignment units are unknown; regions share source pools and are fitted separately; one publication family; conditional sample independence is assumed.	non-stranded	Illumina NovaSeq X Plus	paired-end 2 x 150	context	conditional_exploratory
F_base	fernandez_2026	Fernandez 2026	Fernandez, E. C., Tu, G., Dai, W., Yang, S., Liu, Z., Grzybowski, M., & Liang, Z. (2026). Spatial coordination between leaf gradient and temperature response in barley. The Plant Journal, 126(1), Article e70857. https://doi.org/10.1111/tpj.70857	10.1111/tpj.70857	PRJNA1275958	NA	Morex	leaf base	14-day-old plants	33	33 °C for 4 h versus a 23 °C daytime control	4 h	23 (daytime)	4 h during exposure; matched control	3	Three reported RNA pools per condition; heat-assignment units are unknown; regions share source pools and are fitted separately; one publication family; conditional sample independence is assumed.	non-stranded	Illumina NovaSeq X Plus	paired-end 2 x 150	context	conditional_exploratory
CR22_day1	crown_sdw1	Mikolajczak 2022	Mikołajczak, K., Kuczyńska, A., Ogrodowicz, P., Kiełbowicz-Matuk, A., Ćwiek-Kupczyńska, H., Daszkowska-Golec, A., Szarejko, I., Surma, M., & Krajewski, P. (2022). High-throughput sequencing data revealed genotype-specific changes evoked by heat stress in crown tissue of barley sdw1 near-isogenic lines. BMC Genomics, 23, Article 177. https://doi.org/10.1186/s12864-022-08410-1	10.1186/s12864-022-08410-1	PRJEB46536	E-MTAB-10789	Bowman; BW827 (sdw1.a); BW828 (sdw1.d) near-isogenic lines	crown	tillering (BBCH 23-26)	28 (constant)	28 °C from sowing to the end of tillering versus 16/8 °C day/night control (chronic warming)	from sowing to tillering (weeks)	16 (day) / 8 (night)	day 1 of tillering	3 (crown tissue of three plants per replication)	Reported biological samples; physical heat-assignment units are unknown; conditional sample independence is assumed.	TruSeq Stranded mRNA (polyA), reverse-stranded	Illumina NovaSeq 6000	paired-end (ENA base counts indicate 2 x 50; paper states 100 bp)	exposure	conditional_exploratory
CR22_day10	crown_sdw1	Mikolajczak 2022	Mikołajczak, K., Kuczyńska, A., Ogrodowicz, P., Kiełbowicz-Matuk, A., Ćwiek-Kupczyńska, H., Daszkowska-Golec, A., Szarejko, I., Surma, M., & Krajewski, P. (2022). High-throughput sequencing data revealed genotype-specific changes evoked by heat stress in crown tissue of barley sdw1 near-isogenic lines. BMC Genomics, 23, Article 177. https://doi.org/10.1186/s12864-022-08410-1	10.1186/s12864-022-08410-1	PRJEB46536	E-MTAB-10789	Bowman; BW827 (sdw1.a); BW828 (sdw1.d) near-isogenic lines	crown	tillering (BBCH 23-26)	28 (constant)	28 °C from sowing to the end of tillering versus 16/8 °C day/night control (chronic warming)	from sowing to tillering (weeks)	16 (day) / 8 (night)	ten days after the first sampling	3 (crown tissue of three plants per replication)	Reported biological samples; physical heat-assignment units are unknown; conditional sample independence is assumed.	TruSeq Stranded mRNA (polyA), reverse-stranded	Illumina NovaSeq 6000	paired-end (ENA base counts indicate 2 x 50; paper states 100 bp)	exposure	conditional_exploratory
